,gam_id,temp,sex,inf_status,geo_order,photo_order,geo_score,photo_score
1,jI1,3,m,I,,,14,20
2,jI1,6,m,I,,,10,50
3,jI1,9,m,I,,,12,50
4,jI1,12,m,I,1,1,15,20
5,jI1,15,m,I,,,26,60
6,jI1,18,m,I,,,19,30
7,jI10,3,m,I,,,12,80
8,jI10,6,m,I,1,1,16,70
9,jI10,9,m,I,,,19,70
10,jI10,12,m,I,,,13,80
11,jI10,15,m,I,,,21,100
12,jI10,18,m,I,,,21,90
13,jI11,3,f,I,1,1,10,90
14,jI11,6,f,I,,,21,40
15,jI11,9,f,I,,,17,70
16,jI11,12,f,I,,,23,20
17,jI12,3,m,I,,,13,60
18,jI12,6,m,I,,,25,60
19,jI12,9,m,I,1,1,24,70
20,jI12,12,m,I,,,11,100
21,jI12,15,m,I,,,39,60
22,jI12,18,m,I,,,10,30
23,jI13,3,f,I,,,20,80
24,jI13,6,f,I,,,13,0
25,jI13,9,f,I,1,1,18,90
26,jI13,12,f,I,,,13,80
27,jI13,15,f,I,,,11,30
28,jI13,18,f,I,,,21,50
29,jI14,3,f,I,1,1,12,40
30,jI14,6,f,I,,,20,30
31,jI14,9,f,I,,,27,50
32,jI14,12,f,I,,,15,70
33,jI14,15,f,I,,,24,30
34,jI14,18,f,I,,,22,0
35,jI15,3,f,I,,,24,40
36,jI15,6,f,I,1,1,18,30
37,jI15,9,f,I,,,20,60
38,jI15,12,f,I,,,15,70
39,jI15,15,f,I,,,23,60
40,jI15,18,f,I,,,32,70
41,jI16,3,m,I,,,22,20
42,jI16,6,m,I,,,38,40
43,jI16,9,m,I,,,22,0
44,jI16,12,m,I,,,18,20
45,jI16,15,m,I,1,1,18,30
46,jI16,18,m,I,,,14,20
47,jI17,3,f,I,,,31,40
48,jI17,6,f,I,,,17,60
49,jI17,9,f,I,,,22,60
50,jI17,12,f,I,,,17,30
51,jI17,15,f,I,,,22,50
52,jI17,18,f,I,1,1,20,20
53,jI18,3,m,I,,,18,60
54,jI18,6,m,I,,,24,60
55,jI18,9,m,I,,,23,70
56,jI18,12,m,I,1,1,21,100
57,jI18,15,m,I,,,32,50
58,jI18,18,m,I,,,36,60
59,jI19,3,m,I,,,20,80
60,jI19,6,m,I,1,1,19,50
61,jI19,9,m,I,,,23,70
62,jI19,12,m,I,,,18,30
63,jI19,15,m,I,,,19,0
64,jI19,18,m,I,,,25,30
65,jI2,3,m,I,1,1,16,50
66,jI2,6,m,I,,,20,50
67,jI2,9,m,I,,,12,60
68,jI2,12,m,I,,,16,10
69,jI2,15,m,I,,,27,40
70,jI2,18,m,I,,,32,50
71,jI20,3,f,I,,,11,0
72,jI20,6,f,I,,,20,50
