gammarus,filter_id,inf_status,leaf_id,temp,dw_initial,dw_final,poop_weight,Expr1,efficiency
03IN,3IN,I,067A,03,38.90,32.92,0.68,5.3088,88.68101029
03IO,3IO,I,058F,03,40.05,32.97,0.19,6.8935,97.37819779
03IM,3IM,I,068D,03,32.92,27.37,1.33,4.2239,76.08574259
03IJ,3IJ,I,002B,03,47.45,40.52,1.33,5.5964,80.81677449
03IG,3IG,I,032A,03,43.43,30.30,0.78,12.3471,94.04090026
03IE,3IE,I,027D,03,33.18,30.81,1.66,0.715,30.15223717
03ID,3ID,I,003A,03,34.25,28.27,0.34,5.6423,94.34179945
03IB,3IB,I,029B,03,53.89,45.12,1.56,7.2146,82.26735236
03IA,3IA,I,006B,03,56.08,50.70,0.63,4.7548,88.29548198
03UO,3UO,U,027E,03,29.81,28.24,0.37,1.1942,76.25798212
03UE,3UE,U,026F,03,71.77,61.45,1.59,8.7301,84.57678186
03UB,3UB,U,028B,03,39.12,32.46,0.68,5.9788,89.73404575
03UN,3UN,U,007F,03,36.02,28.40,0.56,7.0697,92.71008183
03UD,3UD,U,052E,03,36.04,30.55,0.81,4.6802,85.18282584
03UH,3UH,U,030A,03,40.34,30.78,2.11,7.4542,77.97525027
03UI,3UI,U,030C,03,40.41,31.09,1.34,7.9697,85.58710453
03UJ,3UJ,U,067B,03,37.05,30.82,1.35,4.8824,78.37924613
03UK,3UK,U,028D,03,43.37,39.98,0.70,2.6837,79.29852554
03UL,3UL,U,034A,03,36.18,32.90,0.83,2.4545,74.65251376
03UM,3UM,U,045G,03,46.72,40.38,1.06,5.28,83.30309389
03UC,3UC,U,029E,03,40.37,33.85,1.51,5.0132,76.84242796
06IH,6IH,I,003C,06,39.07,29.07,0.75,9.2468,92.47447321
06IG,6IG,I,050D,06,44.71,33.87,0.57,10.274,94.76635859
06ID,6ID,I,014E,06,37.64,31.28,0.49,5.866,92.25736439
06IB,6IB,I,013F,06,37.12,27.76,0.67,8.6926,92.88652854
06UO,6UO,U,049B,06,42.71,36.25,0.25,6.2025,96.07342007
