gammarus_summary.gammarus,resp.gammarus,init_wet_gam,inf_status,temp,leaf_change,av_leafdecay,dryweight_mg,aver
15UA,15UA,0.0127,U,15,5.28,0.053,2.3,0.421296709
15UB,15UB,0.0177,U,15,13.99,0.053,2.8,0.916974797
15UC,15UC,0.0148,U,15,8.79,0.053,2.7,0.597877634
15UD,15UD,0.015,U,15,4.45,0.053,1.7,0.48052583
15UE,15UE,0.0146,U,15,3.4,0.053,2.1,0.296900578
15UM,15UM,0.0125,U,15,10.37,0.053,2.5,0.760998159
15UO,15UO,0.0119,U,15,8.89,0.053,2.7,0.60410376
15IC,15IC,0.0179,I,15,6.82,0.053,3.6,0.347710239
15IG,15IG,0.0149,I,15,9.1,0.053,2.6,0.642729315
15II,15II,0.0151,I,15,7.63,0.053,1,1.400269921
15IK,15IK,0.012,I,15,9.08,0.053,1.9,0.876732009
15IL,15IL,0.0105,I,15,9.08,0.053,2.1,0.793950597
15IM,15IM,0.0107,I,15,6.09,0.053,1.8,0.621176534
03UB,03UB,0.0161,U,3,6.66,0.06612,2.2,0.555881792
03UC,03UC,0.0159,U,3,6.52,0.06612,2.2,0.544301342
03UD,03UD,0.0105,U,3,5.49,0.06612,1.9,0.530770337
03UE,03UE,0.0163,U,3,10.32,0.06612,2.3,0.823735589
03UH,03UH,0.0136,U,3,9.56,0.06612,2.6,0.674870448
03UI,03UI,0.0122,U,3,9.31,0.06612,1.7,1.005389005
03UJ,03UJ,0.0155,U,3,6.23,0.06612,2.2,0.519706195
03UK,03UK,0.0129,U,3,3.38,0.06612,2.3,0.270075111
03UL,03UL,0.0165,U,3,3.29,0.06612,2.9,0.208096799
03UM,03UM,0.0121,U,3,6.34,0.06612,1.9,0.612303165
03UN,03UN,0.0198,U,3,7.63,0.06612,3.9,0.358887689
03UO,03UO,0.0172,U,3,1.57,0.06612,2.5,0.114971709
03IA,03IA,0.0106,I,3,5.39,0.06612,1.8,0.549119005
03IB,03IB,0.0198,I,3,8.77,0.06612,3.6,0.447126489
03ID,03ID,0.01,I,3,5.98,0.06612,1.4,0.784101771
03IE,03IE,0.017,I,3,2.37,0.06612,3.2,0.136012634
03IG,03IG,0.0132,I,3,13.13,0.06612,2.1,1.14756956
03IH,03IH,0.0112,I,3,4.25,0.06612,2.1,0.371267952
03IJ,03IJ,0.0196,I,3,6.92,0.06612,4,0.317756847
03IM,03IM,0.0187,I,3,5.55,0.06612,3.3,0.308776838
03IN,03IN,0.0195,I,3,5.99,0.06612,3.7,0.296969554
03IO,03IO,0.0193,I,3,7.08,0.06612,5.1,0.254774743
09UA,09UA,0.0191,U,9,6.43,0.06654,4.8,0.245812376
09UC,09UC,0.013,U,9,6.82,0.06654,3.2,0.391450533
09UD,09UD,0.0177,U,9,2.13,0.06654,3.7,0.105736875
09UE,09UE,0.0163,U,9,8.81,0.06654,3.1,0.521672051
09UF,09UF,0.0198,U,9,6.84,0.06654,4.9,0.25610115
09UG,09UG,0.0121,U,9,2.96,0.06654,1.9,0.285848697
09UK,09UK,0.0128,U,9,10.28,0.06654,2.5,0.755027974
09UL,09UL,0.0196,U,9,5.06,0.06654,3.8,0.244296592
09UM,09UM,0.0199,U,9,3.36,0.06654,4.5,0.137215271
09UN,09UN,0.0198,U,9,7.55,0.06654,4.5,0.307976703
09UO,09UO,0.0148,U,9,6.74,0.06654,2.9,0.426406239
09IA,09IA,0.0143,I,9,3.46,0.06654,3,0.211953511
09IB,09IB,0.0198,I,9,8.81,0.06654,4.5,0.359158719
09IC,09IC,0.0169,I,9,7.23,0.06654,2.6,0.510728352
09ID,09ID,0.0179,I,9,9.76,0.06654,4,0.447856399
09IE,09IE,0.0199,I,9,10.69,0.06654,4.1,0.478590841
09IG,09IG,0.0199,I,9,4.69,0.06654,4.1,0.209789461
09IL,09IL,0.0169,I,9,5.71,0.06654,3.4,0.308440812
09IO,09IO,0.0101,I,9,6.63,0.06654,1.9,0.640146906
06UA,06UA,0.0151,U,6,6.86,0.06262,3,0.419945039
06UC,06UC,0.0174,U,6,10.2,0.06262,3,0.623861188
06UD,06UD,0.0101,U,6,9.05,0.06262,1.3,1.277591743
06UF,06UF,0.0173,U,6,7.91,0.06262,3.6,0.40334171
06UH,06UH,0.0179,U,6,7.11,0.06262,4.8,0.271898913
06UJ,06UJ,0.0199,U,6,8.41,0.06262,4.7,0.328261404
06UK,06UK,0.0196,U,6,7.75,0.06262,5.5,0.258712405
06UO,06UO,0.0198,U,6,6.46,0.06262,3.7,0.320265424
06IB,06IB,0.0198,I,6,9.36,0.06262,4.6,0.373412674
06ID,06ID,0.0196,I,6,6.36,0.06262,3.5,0.333443046
06IG,06IG,0.0103,I,6,10.84,0.06262,1.9,1.04732529
06IH,06IH,0.0116,I,6,10,0.06262,2.7,0.679760295
06II,06II,0.01,I,6,9.35,0.06262,1.7,1.009902832
06IK,06IK,0.0135,I,6,2.76,0.06262,2.9,0.174615558
06IL,06IL,0.0124,I,6,11.32,0.06262,2.6,0.799457741
06IM,06IM,0.0153,I,6,13.15,0.06262,2.8,0.862158372
06IN,06IN,0.0199,I,6,6.6,0.06262,5,0.242257362
06IO,06IO,0.0159,I,6,9.48,0.06262,3.4,0.511612837
12UB,12UB,0.01,U,12,17.51,0.08018,2.5,1.285615809
12UE,12UE,0.0154,U,12,14.04,0.08018,4.3,0.599390913
12UF,12UF,0.0154,U,12,9.19,0.08018,3,0.562463207
12UH,12UH,0.0123,U,12,5.45,0.08018,3,0.333492894
12UI,12UI,0.0196,U,12,8.22,0.08018,4.5,0.335157606
12UM,12UM,0.0122,U,12,12.48,0.08018,3.1,0.738749875
12UN,12UN,0.0198,U,12,4.67,0.08018,4.4,0.194943001
12UO,12UO,0.0101,U,12,8.29,0.08018,2.2,0.691847142
12IA,12IA,0.0141,I,12,11.8,0.08018,2.8,0.773602913
12IC,12IC,0.0137,I,12,10.48,0.08018,2.6,0.739520844
12IG,12IG,0.0114,I,12,7.37,0.08018,2.1,0.644495672
12IH,12IH,0.0197,I,12,12.29,0.08018,5.3,0.425702639
12IL,12IL,0.0199,I,12,10.99,0.08018,4.4,0.458635614
12IN,12IN,0.0182,I,12,8.85,0.08018,3.8,0.427399945
12IO,12IO,0.0185,I,12,8.69,0.08018,4.8,0.332251269
18UA,18UA,0.0176,U,18,11.04,0.05612,2.8,0.723501734
18UF,18UF,0.0199,U,18,8.1,0.05612,3.3,0.450287161
18UN,18UN,0.0159,U,18,10.85,0.05612,3.8,0.524088449
18IB,18IB,0.0198,I,18,7.93,0.05612,3.7,0.393566698
18IC,18IC,0.01,I,18,6.08,0.05612,1.5,0.743809454
18IJ,18IJ,0.0104,I,18,9.17,0.05612,1.7,0.990576244
18IK,18IK,0.0172,I,18,11.16,0.05612,2.4,0.853453588
18IM,18IM,0.016,I,18,10.21,0.05612,3.1,0.604281615
18IN,18IN,0.0104,I,18,6.53,0.05612,1.7,0.705092012
18_2UE,18_2UE,0.01,U,18,6.95,0.05612,1.5,0.85102481
18_2UK,18_2UK,0.0123,U,18,5.38,0.05612,1.5,0.657735233
18_2UM,18_2UM,0.0129,U,18,9.85,0.05612,2.6,0.695294934
18_2UO,18_2UO,0.0198,U,18,10.25,0.05612,4.4,0.427587918
18_2IB,18_2IB,0.0101,I,18,12.4,0.05612,1.8,1.264259126
18_2IG,18_2IG,0.0199,I,18,6.27,0.05612,4,0.287650973
18_2IJ,18_2IJ,0.0163,I,18,8.52,0.05612,2.5,0.625516982
18_2IL,18_2IL,0.02,I,18,8.5,0.05612,4.4,0.354423005
