gammarus,sex,inf_status,temp,blank_ref,blanks,gam_dryweight_mg,saturation,volume_liter,change_percent,time_h,resp_rate,assimilation,filter_id,leaf_id,filter_dw_initial,filter_dw_final,poop_weight,efficiency,init_wet_gam,leaf_change,av_leafdecay,dryweight_mg,wet_gam,weight_change,days_inexpt,rate,feeding_rate
03IA,m,I,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3IA,006B,56.08,50.7,0.63,88.29548198,0.0106,5.39,0.06612,1.8,0.01,-0.0001,10,-0.00001,0.549119005
03ID,f,I,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.488829919,3ID,003A,34.25,28.27,0.34,94.34179945,0.01,5.98,0.06612,1.4,0.01,-0.0006,10,-0.00006,0.784101771
03IH,m,I,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0112,4.25,0.06612,2.1,0.01,0.0008,10,0.00008,0.371267952
03IJ,f,I,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3IJ,002B,47.45,40.52,1.33,80.81677449,0.0196,6.92,0.06612,4,0.02,0.0016,10,0.00016,0.317756847
03IO,f,I,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3IO,058F,40.05,32.97,0.19,97.37819779,0.0193,7.08,0.06612,5.1,0.02,0.0039,10,0.00039,0.254774743
03UD,m,U,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3UD,052E,36.04,30.55,0.81,85.18282584,0.0105,5.49,0.06612,1.9,0.01,0.0005,10,0.00005,0.530770337
03UM,m,U,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3UM,045G,46.72,40.38,1.06,83.30309389,0.0121,6.34,0.06612,1.9,0.02,0.0075,10,0.00075,0.612303165
03UN,f,U,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3UN,007F,36.02,28.4,0.56,92.71008183,0.0198,7.63,0.06612,3.9,0.02,0.004,10,0.0004,0.358887689
06II,f,I,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.01,9.35,0.06262,1.7,0.01,-0.0017,9,-0.000188889,1.009902832
09ID,f,I,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27ID,009E,57.69,47.93,0.82,91.64754098,0.0179,9.76,0.06654,4,0.02,0.0025,8,0.0003125,0.447856399
09UK,f,U,9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27UK,054C,52.49,42.21,0.89,91.36992162,0.0128,10.28,0.06654,2.5,0.01,-0.0009,8,-0.0001125,0.755027974
12IH,m,I,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21IH,020A,50.27,37.98,0.88,92.86951994,0.0197,12.29,0.08018,5.3,0.02,0.0029,7,0.000414286,0.425702639
15II,m,I,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.117956494,15II,001E,36.53,28.91,0.75,90.18469242,0.0151,7.63,0.053,1,0.01,-0.0009,8,-0.0001125,1.400269921
15UC,m,U,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,15UC,032F,37.77,28.98,0.42,95.18351753,0.0148,8.79,0.053,2.7,0.02,0.0021,8,0.0002625,0.597877634
18_2IB,f,I,18,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0101,12.4,0.05612,1.8,0.01,-0.0013,9,-0.000144444,1.264259126
03IB,f,I,3,03BLANK4_1,0.179932331,3.6,13.295,0.006,0.01,0.44,0.003509025,0.364330099,3IB,029B,53.89,45.12,1.56,82.26735236,0.0198,8.77,0.06612,3.6,0.02,0.0009,10,0.00009,0.447126489
03IE,m,I,3,03BLANK3_1,-1.088406997,3.2,13.295,0.0062,0.01,0.44,0.012127515,0.028883337,3IE,027D,33.18,30.81,1.66,30.15223717,0.017,2.37,0.06612,3.2,0.02,0.0029,10,0.00029,0.136012634
03IG,m,I,3,03BLANK2_1,1.115580451,2.1,13.295,0.0071,0.01,0.44,0.002497725,1.07668702,3IG,032A,43.43,30.3,0.78,94.04090026,0.0132,13.13,0.06612,2.1,0.01,-0.0027,10,-0.00027,1.14756956
03IM,f,I,3,03BLANK3_1,-1.088406997,3.3,13.295,0.008,0.01,0.44,0.012796393,0.222138757,3IM,068D,32.92,27.37,1.33,76.08574259,0.0187,5.55,0.06612,3.3,0.02,0.0044,10,0.00044,0.308776838
03IN,f,I,3,03BLANK3_1,-1.088406997,3.7,13.295,0.0082,0.01,0.44,0.010670797,0.252684804,3IN,067A,38.9,32.92,0.68,88.68101029,0.0195,5.99,0.06612,3.7,0.02,0.0002,10,0.00002,0.296969554
06IB,f,I,6,06_BLANK1_1,1.515002553,4.6,12.362,0.007,0.02,0.44,0.008479661,0.338370409,6IB,013F,37.12,27.76,0.67,92.88652854,0.0198,9.36,0.06262,4.6,0.02,0.0038,9,0.000422222,0.373412674
06ID,f,I,6,06_BLANK2_1,1.940741053,3.5,12.362,0.0056,0.04,0.44,0.015386932,0.292238834,6ID,014E,37.64,31.28,0.49,92.25736439,0.0196,6.36,0.06262,3.5,0.02,0.0026,9,0.000288889,0.333443046
06IG,f,I,6,06_BLANK3_1,1.169671089,1.9,12.362,0.0058,0.02,0.44,0.017644005,0.974868036,6IG,050D,44.71,33.87,0.57,94.76635859,0.0103,10.84,0.06262,1.9,0.01,0.0002,9,2.22222E-05,1.04732529
06IH,m,I,6,06_BLANK1_1,1.515002553,2.7,12.362,0.0052,0.03,0.44,0.012474171,0.616130581,6IH,003C,39.07,29.07,0.75,92.47447321,0.0116,10,0.06262,2.7,0.01,-0.0002,9,-2.22222E-05,0.679760295
06IK,m,I,6,06_BLANK2_1,1.940741053,2.9,12.362,0.0066,0.02,0.44,0.011980231,0.140122458,6IK,027C,32.65,29.89,0.36,87.1071804,0.0135,2.76,0.06262,2.9,0.01,-0.0012,9,-0.000133333,0.174615558
06IL,f,I,6,06_BLANK3_1,1.169671089,2.6,12.362,0.0064,0.01,0.44,0.00524183,0.828299377,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0124,11.32,0.06262,2.6,0.01,-0.0006,9,-6.66667E-05,0.799457741
06IM,f,I,6,06_BLANK5_2,1.225369712,2.8,12.362,0.0054,0.02,0.44,0.010462141,0.829080478,6IM,049F,50.99,37.84,0.35,97.37684476,0.0153,13.15,0.06262,2.8,0.01,-0.0018,9,-0.0002,0.862158372
06IN,m,I,6,06_BLANK4_1,0.453948852,5,12.362,0.006,0.01,0.44,0.003892797,0.233364724,6IN,042A,34.62,28.02,0.14,97.93614474,0.0199,6.6,0.06262,5,0.03,0.0055,9,0.000611111,0.242257362
06IO,m,I,6,06_BLANK2_1,1.940741053,3.4,12.362,0.005,0.04,0.44,0.012706441,0.452236638,6IO,009C,44.42,34.94,0.86,90.87791495,0.0159,9.48,0.06262,3.4,0.02,0.0003,9,3.33333E-05,0.511612837
09IA,f,I,9,09_blank_3,3.407731164,3,11.726,0.007,0.03,0.44,0.010896815,0.190576184,27IA,038C,35.76,32.29,0.17,95.05527812,0.0143,3.46,0.06654,3,0.02,0.0014,8,0.000175,0.211953511
09IB,m,I,9,09_blank_2,3.698312891,4.5,11.726,0.0068,0.05,0.44,0.016510325,0.330868686,27IB,068C,38.8,29.99,0.29,96.72019443,0.0198,8.81,0.06654,4.5,0.02,0.003,8,0.000375,0.359158719
09IC,f,I,9,09_blank_2,3.698312891,2.6,11.726,0.0062,0.05,0.44,0.021683875,0.489256263,27IC,057C,44.81,37.58,0,100.0414674,0.0169,7.23,0.06654,2.6,0.02,0.0019,8,0.0002375,0.510728352
09IE,f,I,9,09_blank_3,3.407731164,4.1,11.726,0.0056,0.05,0.44,0.012159251,0.448694563,27IE,037D,40.09,29.4,0.4,96.2939058,0.0199,10.69,0.06654,4.1,0.02,0.0043,8,0.0005375,0.478590841
